o0,8,2,2,4,5,6,1,8,-1,0
o1,1,8,3,2,5,6,1,8,9,0
o2,2,3,8,1,2,4,5,6,7,4
o3,2,3,4,8,3,2,2,6,7,4
o4,2,3,4,1,8,4,2,6,2,3
o5,2,3,4,2,1,8,5,2,7,4
o6,2,1,4,2,2,1,8,2,2,2
o7,2,3,3,2,2,4,1,8,7,4
o8,2,2,4,2,2,1,5,6,8,1
o9,6,3,4,2,2,4,2,2,2,4
o10,6,3,3,1,2,4,5,2,7,4
o11,2,6,1,2,3,2,2,6,7,5
o12,2,1,6,2,8,2,1,6,7,4
o13,1,3,4,6,2,4,5,6,7,4
o14,2,1,4,2,6,2,5,6,2,3
o15,2,3,1,2,3,6,2,2,7,4
o16,2,1,1,1,2,2,6,2,2,2
o17,2,3,3,1,1,2,6,6,7,4
o18,2,2,4,2,3,4,1,6,7,1
o19,2,3,4,2,3,4,2,2,6,4
o20,2,3,3,2,6,4,2,2,6,1
o21,2,3,4,2,3,2,6,6,1,5
o22,2,6,4,2,1,4,1,6,7,4
o23,2,6,4,2,3,4,1,6,7,4
o24,2,3,6,2,3,1,5,2,2,3
o25,2,3,6,2,1,4,5,2,2,4
o26,2,1,6,1,1,2,2,2,2,2
o27,2,6,1,6,5,4,5,6,7,4
o28,2,1,4,2,6,4,5,3,2,1
o29,1,4,2,3,2,6,2,2,4,0
